Date,Open,High,Low,Close,Adj Close,Volume
2017-02-09,461.369995,468.600006,460.799988,465.429993,465.429993,156700
2017-02-10,464.640015,467.649994,461.750000,465.399994,465.399994,138300
2017-02-13,466.440002,466.989990,462.279999,463.850006,463.850006,221200
2017-02-14,461.429993,465.750000,460.000000,463.309998,463.309998,254000
2017-02-15,462.279999,466.820007,460.260010,465.230011,465.230011,167100
2017-02-16,466.799988,467.720001,462.250000,466.279999,466.279999,118200
2017-02-17,465.709991,471.549988,464.299988,471.549988,471.549988,166400
2017-02-21,472.220001,475.489990,470.540009,473.709991,473.709991,182800
2017-02-22,474.200012,477.760010,472.079987,473.470001,473.470001,133000
2017-02-23,475.980011,475.980011,470.010010,472.619995,472.619995,111500
2017-02-24,471.959991,475.480011,470.760010,475.459991,475.459991,107700
2017-02-27,475.899994,477.440002,474.880005,475.350006,475.350006,109700
2017-02-28,474.149994,478.190002,473.589996,476.220001,476.220001,182400
2017-03-01,480.000000,485.089996,477.820007,483.649994,483.649994,196200
2017-03-02,484.420013,488.500000,480.910004,481.489990,481.489990,178900
2017-03-03,481.130005,482.630005,478.649994,481.709991,481.709991,122800
2017-03-06,479.299988,481.260010,478.709991,479.589996,479.589996,124700
2017-03-07,478.970001,485.029999,475.959991,481.299988,481.299988,197400
2017-03-08,480.779999,484.450012,480.779999,481.910004,481.910004,150900
2017-03-09,481.440002,486.480011,481.010010,484.040009,484.040009,95000
2017-03-10,487.440002,489.920013,483.670013,486.899994,486.899994,103600
2017-03-13,488.040009,488.850006,483.799988,485.450012,485.450012,145900
2017-03-14,484.989990,487.019989,478.619995,481.369995,481.369995,136500
2017-03-15,482.179993,487.609985,481.739990,485.500000,485.500000,200900
2017-03-16,484.320007,485.299988,479.299988,480.160004,480.160004,177100
2017-03-17,480.790009,483.109985,478.079987,481.829987,481.829987,218800
2017-03-20,481.880005,483.200012,479.089996,481.070007,481.070007,132000
2017-03-21,483.250000,485.890015,472.399994,473.359985,473.359985,247900
2017-03-22,475.119995,481.619995,471.140015,477.380005,477.380005,207500
2017-03-23,477.100006,480.630005,475.209991,478.269989,478.269989,176800
2017-03-24,479.299988,481.829987,476.859985,478.589996,478.589996,131700
2017-03-27,476.829987,479.899994,474.299988,478.940002,478.940002,110900
2017-03-28,478.260010,480.839996,476.290009,479.540009,479.540009,101200
2017-03-29,477.480011,481.149994,476.899994,478.140015,478.140015,119900
2017-03-30,476.299988,479.959991,476.299988,478.690002,478.690002,90500
2017-03-31,477.510010,481.440002,477.510010,478.910004,478.910004,155800
2017-04-03,478.320007,481.649994,476.109985,477.869995,477.869995,159500
2017-04-04,477.899994,480.649994,475.519989,476.570007,476.570007,117600
2017-04-05,478.220001,482.959991,476.600006,476.880005,476.880005,207300
2017-04-06,477.399994,481.920013,476.440002,480.540009,480.540009,107300
2017-04-07,480.690002,484.470001,480.209991,482.890015,482.890015,140200
2017-04-10,485.690002,488.459991,480.799988,481.140015,481.140015,194500
2017-04-11,482.070007,483.100006,477.019989,480.040009,480.040009,88800
2017-04-12,481.690002,481.690002,475.920013,477.019989,477.019989,181600
2017-04-13,476.459991,479.140015,472.440002,473.869995,473.869995,113500
2017-04-17,475.010010,481.760010,473.549988,481.179993,481.179993,97600
2017-04-18,477.070007,480.329987,474.320007,477.880005,477.880005,115100
2017-04-19,480.690002,494.100006,478.309998,492.869995,492.869995,282300
2017-04-20,494.730011,494.779999,489.119995,489.790009,489.790009,194300
2017-04-21,489.910004,493.839996,487.709991,490.470001,490.470001,156800
2017-04-24,496.510010,499.079987,494.589996,498.730011,498.730011,108500
2017-04-25,502.579987,511.519989,499.910004,509.440002,509.440002,191000
2017-04-26,510.010010,515.109985,507.910004,512.989990,512.989990,164300
2017-04-27,514.960022,518.320007,512.989990,513.299988,513.299988,106200
2017-04-28,512.520020,514.750000,511.390015,513.419983,513.419983,119900
2017-05-01,514.429993,519.409973,513.650024,513.710022,513.710022,185400
2017-05-02,524.390015,524.390015,512.479980,516.659973,516.659973,186700
2017-05-03,515.510010,515.700012,508.239990,513.429993,513.429993,153200
2017-05-04,512.299988,520.179993,512.299988,519.309998,519.309998,208600
2017-05-05,549.900024,566.489990,542.219971,544.140015,544.140015,418800
2017-05-08,543.190002,546.080017,540.780029,542.590027,542.590027,194100
2017-05-09,545.000000,548.960022,544.429993,547.429993,547.429993,169900
2017-05-10,547.000000,554.380005,544.750000,552.539978,552.539978,242300
2017-05-11,548.960022,554.109985,545.539978,552.739990,552.739990,95600
2017-05-12,550.890015,556.989990,550.890015,556.109985,556.109985,160100
2017-05-15,556.299988,565.049988,555.500000,564.400024,564.400024,206900
2017-05-16,564.059998,567.119995,562.760010,565.820007,565.820007,101500
2017-05-17,565.820007,565.820007,557.820007,558.340027,558.340027,163500
