Period,Market Cap
9/15/2020,212987.393
9/14/2020,212860.931
9/11/2020,213670.2881
9/10/2020,211368.6787
9/9/2020,214681.9846
9/8/2020,210761.6609
9/4/2020,215592.5114
9/3/2020,216224.8216
9/2/2020,219866.9288
9/1/2020,213543.8261
8/31/2020,215668.3886
8/28/2020,216629.5002
8/27/2020,217059.4712
8/26/2020,216351.2837
8/25/2020,216705.3774
8/24/2020,216047.7748
8/21/2020,214934.9087
8/20/2020,215061.3707
8/19/2020,215061.3707
8/18/2020,213872.6274
8/17/2020,214378.4756
8/14/2020,211141.047
8/13/2020,211292.8015
8/12/2020,209117.6541
8/11/2020,204640.8974
8/10/2020,204640.8974
8/7/2020,204919.1139
8/6/2020,204994.9912
8/5/2020,206487.2434
8/4/2020,206563.1206
8/3/2020,208763.5604
7/31/2020,202946.3059
7/30/2020,199779.0119
7/29/2020,200689.5125
7/28/2020,201549.4298
7/27/2020,199627.2618
7/24/2020,194998.8836
7/23/2020,197426.8853
7/22/2020,199247.8866
7/21/2020,199526.0951
7/20/2020,200841.2626
7/17/2020,202004.6801
7/16/2020,200815.971
7/15/2020,200917.1377
7/14/2020,197907.4273
7/13/2020,195631.1757
7/10/2020,194063.0913
7/9/2020,193961.9246
7/8/2020,197072.8017
7/7/2020,199096.1364
7/6/2020,201271.2213
7/2/2020,199247.8866
7/1/2020,197578.6354
6/30/2020,195580.5924
6/29/2020,192134.5833
6/26/2020,189787.1692
6/25/2020,193270.4289
6/24/2020,191503.558
6/23/2020,194658.6845
6/22/2020,193724.7671
6/19/2020,196627.4835
6/18/2020,192386.9935
6/17/2020,192563.6805
6/16/2020,194280.0694
6/15/2020,186833.9708
6/12/2020,192588.9216
6/11/2020,195239.2278
6/10/2020,206395.7551
6/9/2020,207632.5647
6/8/2020,209247.9895
6/5/2020,207632.5647
6/4/2020,205840.4529
6/3/2020,207127.7445
6/2/2020,204048.341
6/1/2020,200817.4915
5/29/2020,203745.4489
5/28/2020,199504.9588
5/27/2020,195744.0481
5/26/2020,195012.0587
5/22/2020,192765.6086
5/21/2020,193219.9469
5/20/2020,194078.1413
5/19/2020,195744.0481
5/18/2020,201221.3477
5/15/2020,201372.7937
5/14/2020,202054.3011
5/13/2020,196602.2425
5/12/2020,194835.3716
5/11/2020,196652.7245
5/8/2020,192841.3317
5/7/2020,190822.0507
5/6/2020,194658.6845
5/5/2020,196905.1346
5/4/2020,194002.4182
5/1/2020,196046.9402
4/30/2020,200262.1892
4/29/2020,203864.5542
4/28/2020,204899.3997
4/27/2020,211966.6369
4/24/2020,205530.403
4/23/2020,204142.1957
4/22/2020,201870.5837
4/21/2020,198286.4848
4/20/2020,209745.5052
4/17/2020,210654.15
4/16/2020,209493.1039
4/15/2020,207145.7715
4/14/2020,209089.2618
4/13/2020,203284.0312
4/9/2020,208205.8571
4/8/2020,206009.9655
4/7/2020,198286.4848
4/6/2020,202703.5081
4/3/2020,192456.0141
4/2/2020,194020.9024
4/1/2020,186272.1815
3/31/2020,194197.5833
3/30/2020,194305.4216
3/27/2020,181124.469
3/26/2020,186207.0632
3/25/2020,172760.0415
3/24/2020,174861.93
3/23/2020,168151.0811
3/20/2020,180711.7643
3/19/2020,179116.3549
3/18/2020,181395.5112
3/17/2020,188612.8392
3/16/2020,177065.1143
3/13/2020,194361.3776
3/12/2020,188536.8673
3/11/2020,200692.3671
3/10/2020,207707.1035
3/9/2020,199957.9724
3/6/2020,208162.9348
3/5/2020,206592.8494
3/4/2020,210112.8795
3/3/2020,200388.4797
3/2/2020,206061.0462
2/28/2020,194176.7393
2/27/2020,198031.8679
2/26/2020,202749.3279
2/25/2020,203586.2966
2/24/2020,206274.7415
2/21/2020,208836.373
2/20/2020,209216.8133
2/19/2020,207974.0416
2/18/2020,209140.7252
2/14/2020,209622.6163
2/13/2020,207897.9535
2/12/2020,211144.3776
2/11/2020,216216.9152
2/10/2020,217256.7854
2/7/2020,215785.7495
2/6/2020,217307.5108
2/5/2020,217687.9511
2/4/2020,224104.7112
2/3/2020,221517.717
1/31/2020,216698.8063
1/30/2020,219624.884
1/29/2020,221503.7558
1/28/2020,218990.13
1/27/2020,218609.2776
1/24/2020,218304.5957
1/23/2020,224855.257
1/22/2020,227622.7844
1/21/2020,228435.2695
1/17/2020,230974.2855
1/16/2020,231507.4789
1/15/2020,232421.5246
1/14/2020,228333.7089
1/13/2020,227267.3222
1/10/2020,227318.1025
1/9/2020,226937.2501
1/8/2020,224956.8176
1/7/2020,226480.2272
1/6/2020,232675.4262
1/3/2020,231685.21
1/2/2020,233691.0326
12/31/2019,230923.5052
12/30/2019,231760.9326
12/27/2019,232957.5452
12/26/2019,232550.1877
12/24/2019,232804.7861
12/23/2019,233568.5813
12/20/2019,233161.2239
12/19/2019,229113.1092
12/18/2019,228171.095
12/17/2019,226643.5046
12/16/2019,227330.9203
12/13/2019,227076.3219
12/12/2019,228043.7958
12/11/2019,226541.6652
12/10/2019,226847.1833
12/9/2019,225879.7094
12/6/2019,226210.6873
12/5/2019,225956.0889
12/4/2019,225752.4101
12/3/2019,222468.0907
12/2/2019,221602.4561
11/29/2019,221958.8938
11/27/2019,223053.667
11/26/2019,222366.2513
11/25/2019,218190.8374
11/22/2019,217554.3413
11/21/2019,217579.8012
11/20/2019,217096.0642
11/19/2019,215517.5541
11/18/2019,214193.6423
11/15/2019,216154.0501
11/14/2019,215262.9557
11/13/2019,215950.3714
11/12/2019,214168.1825
11/11/2019,212029.5558
11/8/2019,212818.8109
11/7/2019,211011.1622
11/6/2019,211953.1763
11/5/2019,211113.0016
11/4/2019,213608.066
11/1/2019,216255.8895
10/31/2019,220634.9821
10/30/2019,219937.6151
10/29/2019,217080.6199
10/28/2019,209683.0429
10/25/2019,209836.0962
10/24/2019,210652.3806
10/23/2019,211392.1383
10/22/2019,207387.2432
10/21/2019,215601.1045
10/18/2019,216009.2466
10/17/2019,213764.4647
10/16/2019,215422.5423
10/15/2019,216927.5665
10/14/2019,216034.7555
10/11/2019,215141.9445
10/10/2019,213662.4291
10/9/2019,214733.8023
10/8/2019,212463.5115
10/7/2019,215269.489
10/4/2019,216825.531
10/3/2019,211060.5228
10/2/2019,208203.5275
10/1/2019,213279.7958
9/30/2019,214733.8023
9/27/2019,212280.6581
9/26/2019,214764.2214
9/25/2019,212767.1293
9/24/2019,214047.3166
9/23/2019,215993.2013
9/20/2019,218041.5009
9/19/2019,214994.6552
9/18/2019,212562.2993
9/17/2019,211256.5082
9/16/2019,210027.5284
9/13/2019,211512.5457
9/12/2019,213304.8079
9/11/2019,212306.2618
9/10/2019,209157.0011
9/9/2019,213714.4679
9/6/2019,221651.6291
9/5/2019,220448.2531
9/4/2019,220320.2343
9/3/2019,221856.4591
8/30/2019,221395.5917
8/29/2019,222035.6853
8/28/2019,221421.1954
8/27/2019,218963.2358
8/26/2019,219884.9706
8/23/2019,217478.2185
8/22/2019,222035.6853
8/21/2019,222522.1565
8/20/2019,219296.0845
8/19/2019,220678.6868
8/16/2019,217785.4635
8/15/2019,213688.8641
8/14/2019,213535.2416
8/13/2019,220397.0456
8/12/2019,219500.9145
8/9/2019,218963.2358
8/8/2019,216940.5399
8/7/2019,215711.56
8/6/2019,215967.5975
8/5/2019,212818.3368
8/2/2019,216274.8425
8/1/2019,214277.7503
7/31/2019,212485.4881
7/30/2019,213737.0196
7/29/2019,211734.9196
7/26/2019,209014.1169
7/25/2019,209835.4912
7/24/2019,209835.4912
7/23/2019,210554.1938
7/22/2019,208449.422
7/19/2019,208911.445
7/18/2019,212248.2786
7/17/2019,210271.8464
7/16/2019,209424.804
7/15/2019,207807.7232
7/12/2019,204650.5654
7/11/2019,207910.395
7/10/2019,217715.5519
7/9/2019,217818.2237
7/8/2019,215713.4518
7/5/2019,219717.652
7/3/2019,223054.4855
7/2/2019,219486.6404
7/1/2019,217535.8762
6/28/2019,215883.9329
6/27/2019,215832.4401
6/26/2019,215085.7932
6/25/2019,219462.6887
6/24/2019,220157.8426
6/21/2019,217737.6769
6/20/2019,217814.9162
6/19/2019,219771.646
6/18/2019,217531.7054
6/17/2019,214467.8785
6/14/2019,213129.0634
6/13/2019,213438.0208
6/12/2019,215523.4827
6/11/2019,213643.9923
6/10/2019,212356.6701
6/7/2019,212305.1772
6/6/2019,209679.0399
6/5/2019,210322.701
6/4/2019,208752.168
6/3/2019,206640.9595
5/31/2019,203937.5829
5/30/2019,205147.6658
5/29/2019,204323.7796
5/28/2019,206640.9595
5/24/2019,208983.8859
5/23/2019,208597.6893
5/22/2019,208494.7035
5/21/2019,204684.2298
5/20/2019,203087.9503
5/17/2019,202676.0072
5/16/2019,203731.6114
5/15/2019,199663.6732
5/14/2019,199328.9694
5/13/2019,198685.3083
5/10/2019,201311.4456
5/9/2019,201671.8959
5/8/2019,201285.6992
5/7/2019,200564.7988
5/6/2019,204632.7369
5/3/2019,205971.552
5/2/2019,204735.7227
5/1/2019,202676.0072
4/30/2019,202650.2607
4/29/2019,198328.2067
4/26/2019,197940.7461
4/25/2019,197191.6554
4/24/2019,193032.9108
4/23/2019,192697.1115
4/22/2019,189752.4104
4/18/2019,189054.9811
4/17/2019,190940.6231
4/16/2019,200343.0023
4/15/2019,202848.5813
4/12/2019,205173.3454
4/11/2019,206232.4046
4/10/2019,208763.8144
4/9/2019,208712.153
4/8/2019,209099.6136
4/5/2019,209616.2279
4/4/2019,211424.3777
4/3/2019,214859.8624
4/2/2019,214937.3546
4/1/2019,215169.831
3/29/2019,214834.3561
3/28/2019,213319.0458
3/27/2019,212441.2958
3/26/2019,214067.7148
3/25/2019,212596.1929
3/22/2019,212441.2958
3/21/2019,214145.1633
3/20/2019,211899.1562
3/19/2019,211460.2812
3/18/2019,210014.5755
3/15/2019,210582.5313
3/14/2019,210376.0019
3/13/2019,210659.9798
3/12/2019,209704.7814
3/11/2019,208775.3991
3/8/2019,206013.0685
3/7/2019,207691.1198
3/6/2019,208491.4212
3/5/2019,210918.1416
3/4/2019,210066.2078
3/1/2019,210789.0607
2/28/2019,209859.6784
2/27/2019,208097.9806
2/26/2019,208407.727
2/25/2019,207478.4877
2/22/2019,208485.1636
2/21/2019,206058.8165
2/20/2019,205026.3284
2/19/2019,204535.8966
2/15/2019,206007.1921
2/14/2019,203761.5305
2/13/2019,203968.0281
2/12/2019,202677.418
2/11/2019,198005.4092
2/8/2019,200096.1977
2/7/2019,198289.3434
2/6/2019,199760.639
2/5/2019,199141.1461
2/4/2019,198418.4045
2/1/2019,197334.2919
1/31/2019,192120.2269
1/30/2019,190216.0905
1/29/2019,189853.1322
1/28/2019,189049.4387
1/25/2019,189127.2155
1/24/2019,189697.5786
1/23/2019,195582.6887
1/22/2019,196593.7869
1/18/2019,196697.4893
1/17/2019,195997.4982
1/16/2019,193430.8643
1/15/2019,193145.6827
1/14/2019,190216.0905
1/11/2019,194182.7066
1/10/2019,193093.8316
1/9/2019,195504.9119
1/8/2019,197008.5964
1/7/2019,195556.7631
1/4/2019,197734.5131
1/3/2019,191953.1054
1/2/2019,195971.5726
12/31/2018,198097.4714
12/28/2018,195990.3768
12/27/2018,196016.3806
12/26/2018,192427.861
12/24/2018,185016.788
12/21/2018,189567.4468
12/20/2018,191101.669
12/19/2018,191829.7744
12/18/2018,193285.9852
12/17/2018,195626.3241
12/14/2018,198876.7947
12/13/2018,205455.7473
12/12/2018,202855.3708
12/11/2018,200515.0319
12/10/2018,201321.1486
12/7/2018,199500.8851
12/6/2018,203791.5063
12/4/2018,203375.4461
12/3/2018,206001.8263
11/30/2018,206313.8715
11/29/2018,202595.3331
11/28/2018,200827.0771
11/27/2018,198512.742
11/26/2018,196172.4032
11/23/2018,194170.1133
11/21/2018,194482.1584
11/20/2018,194456.1547
11/19/2018,198538.7458
11/16/2018,197784.6366
11/15/2018,194612.1773
11/14/2018,192661.8949
11/13/2018,194014.0907
11/12/2018,194222.1208
11/9/2018,194664.1848
11/8/2018,196276.4182
11/7/2018,195236.2676
11/6/2018,190633.6012
11/5/2018,190139.5297
11/2/2018,187929.2097
11/1/2018,190139.5297
10/31/2018,191413.7142
10/30/2018,193742.3401
10/29/2018,189966.9301
10/26/2018,187175.2538
10/25/2018,186005.4084
10/24/2018,187547.4773
10/23/2018,191695.1107
10/22/2018,192944.7183
10/19/2018,192359.7956
10/18/2018,191987.5721
10/17/2018,190950.6637
10/16/2018,189355.4201
10/15/2018,184676.0387
10/12/2018,185606.5975
10/11/2018,181778.0128
10/10/2018,187308.1907
10/9/2018,192333.2082
10/8/2018,189993.5175
10/5/2018,188850.2596
10/4/2018,189355.4201
10/3/2018,189754.231
10/2/2018,190764.552
10/1/2018,190179.6293
9/28/2018,188666.7248
9/27/2018,188081.6292
9/26/2018,187044.4143
9/25/2018,187895.4624
9/24/2018,188241.2007
9/21/2018,189092.2488
9/20/2018,188241.2007
9/19/2018,186113.5805
9/18/2018,187283.7716
9/17/2018,187283.7716
9/14/2018,186113.5805
9/13/2018,188374.177
